feature,rho,auc,ap,separation,pct_zero,rank_rho,rank_auc,rank_ap,in_old_top10
in_degree,0.029009204517493174,0.9470831491432627,0.022681491228179806,0.8941662982865255,59.71447471149107,3,1,4,True
freq_in_long,0.028814200333346727,0.9432288253097864,0.023919691410396744,0.8864576506195727,59.99058391545672,5,2,2,True
in_degree_centrality,0.027002548711302077,0.9234693694191025,0.0024232334025650567,0.846938738838205,59.71447471149107,7,3,7,True
max_out_amount,0.028883129514232907,0.9009322487107767,0.0034935552847853257,0.8018644974215534,72.64442407947752,4,4,5,True
max_in_amount,0.02542785179259936,0.893099752686445,0.0016300562909554363,0.7861995053728901,61.724952675437535,9,5,14,False
avg_out_amount,0.027892346762096214,0.8869930752260063,0.0020978562455478424,0.7739861504520127,72.68184170801194,6,6,10,False
degree_centrality,0.02171996698156845,0.8839455968187804,0.001775180900936199,0.7678911936375608,0.0,12,7,13,False
betweenness_centrality,0.11826065779331309,0.8610458339546306,0.024698846575438853,0.7220916679092613,98.99568617917186,1,8,1,True
active_days,0.02584208671302745,0.8576063974130766,0.0014754164904218414,0.7152127948261533,0.0,8,9,15,True
freq_in_short,0.023212716248760385,0.852200637267134,0.023001519691562243,0.704401274534268,61.81962749928428,10,10,3,False
avg_in_amount,0.022685939398619435,0.8507090865017273,0.000864189415413772,0.7014181730034545,61.72587783658262,11,11,18,False
short_long_in_ratio,0.020711660518994774,0.8121329284266193,0.0029760438287484304,0.6242658568532387,61.81962749928428,13,12,6,False
clustering_coefficient,0.05412146058096811,0.7750274122650608,0.0018673445559267406,0.5500548245301216,97.1656660363578,2,13,12,True
lifetime_days,0.02027849606702111,0.7748230008112367,0.0006096913976291857,0.5496460016224733,74.4230463808981,14,14,19,False
min_out_amount,0.01997301102115284,0.7604459281627898,0.0013750524808843864,0.5208918563255795,76.961071788907,15,15,16,False
freq_out_long,0.01437248703789737,0.7398613014494357,0.0021011765870628317,0.4797226028988715,33.34558315219878,17,16,9,True
freq_out_short,0.014496351044689975,0.7387774066781403,0.0022590275324741315,0.4775548133562806,33.95803983024321,16,17,8,True
out_degree,0.0142629556196101,0.7382030648118281,0.002013526615984683,0.47640612962365614,33.27018251887458,18,18,11,True
min_in_amount,0.012610113452082542,0.6946598179183778,0.0004125344975807659,0.38931963583675566,61.91985329000153,19,19,21,False
out_degree_centrality,0.010998542597413435,0.6908087466830334,0.00117274482354081,0.38161749336606676,33.27018251887458,21,20,17,False
short_long_out_ratio,0.011124482921337945,0.6796619472681243,0.0005775433372251458,0.3593238945362487,33.95803983024321,20,21,20,False
direction_ratio,-0.010664683962591582,0.3367117030507534,0.00019983694124496695,0.32657659389849325,33.27018251887458,22,22,23,False
account_balance,0.008394418511050931,0.6441564439097273,0.0003714445110325512,0.2883128878194545,38.31148839411043,23,23,22,False
