node,sample_idx,label,n_nodes,n_edges,is_phisher,out_degree,in_degree,direction_ratio,max_out_amount,min_out_amount,avg_out_amount,max_in_amount,min_in_amount,avg_in_amount,account_balance,lifetime_days,active_days,freq_out_short,freq_in_short,freq_out_long,freq_in_long,short_long_out_ratio,short_long_in_ratio,katz_centrality,betweenness_centrality,degree_centrality,closeness_centrality,clustering_coefficient,eigenvector_centrality,in_degree_centrality,out_degree_centrality
0x91ba0c054cf1c92e141608c7be041487093bb0aa,522,0,2196,3147,False,1,0,1.0,0.084817,0.084817,0.084817,0.0,0.0,0.0,-0.084817,0,1,0.033333,0.0,0.005556,0.0,5.999999,0.0,0.020866,0.0,0.00045558,0.0,0.0,0.0,0.0,0.00045558
0xb1297472c729340995a2d961833cd3d9c3752487,738,0,6914,10325,False,0,3,0.0,0.0,0.0,0.0,8.3e-05,0.0,5.3e-05,0.00016,6,2,0.0,0.1,0.0,0.016667,0.0,6.0,0.01202302,0.0,0.00014465,0.00026038,0.0,3.902e-05,0.00014465,0.0
0xf99ab2c2f8d7e4490210307cd3865e54b21696b4,741,0,6992,13656,False,2,0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,-8.0,0,1,0.066667,0.0,0.011111,0.0,5.999999,0.0,0.01097922,0.0,0.00014304,0.0,0.0,0.0,0.0,0.00014304
0x679c65bdf54504f83123d88afd9dc65f449ca354,661,0,8028,12054,False,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.033333,0.0,0.005556,0.0,5.999999,0.0,0.01013829,0.0,0.00012458,0.0,0.0,0.0,0.0,0.00012458
0xf7dca20054469a1d548b20859a100b9ec6ff1f61,412,1,50393,1349902,True,1,11296,8.9e-05,0.052389,0.052389,0.052389,0.001,0.0,1e-06,-0.042774,255,128,0.0,0.133333,0.0,0.533333,0.0,0.25,0.19069006,1.087e-05,0.18421575,0.2287887,6.115e-05,1.887e-05,0.1841959,1.984e-05
0x615f73574ccf2aa311519b8164168e8f8daf4710,679,0,619,22407,False,0,1,0.0,0.0,0.0,0.0,0.056214,0.056214,0.056214,0.056214,0,1,0.0,0.033333,0.0,0.005556,0.0,5.999999,0.04003951,0.0,0.00161812,0.01070817,0.0,0.0,0.00161812,0.0
0xc4bdd6be1064d3b11357392756eeb32f2c05954f,627,0,8792,10779,False,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.066667,0.0,0.011111,0.0,5.999999,0.0,0.00961604,0.0,0.00011375,0.0,0.0,0.0,0.0,0.00011375
0xe900e2e83ed0c564108d8e901ca237dd9da45587,514,0,10016,10021,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.033333,0.0,0.005556,0.0,5.999999,0.00999201,0.0,9.985e-05,0.00013313,0.0,0.00999277,9.985e-05,0.0
0x902100cc6376db091d6e00757675128a8995f5ec,860,0,8076,10102,False,1,0,1.0,0.49895,0.49895,0.49895,0.0,0.0,0.0,-0.49895,0,1,0.033333,0.0,0.005556,0.0,5.999999,0.0,0.01002844,0.0,0.00012384,0.0,0.0,0.0,0.0,0.00012384
0x65e48798253229ba49ff8948a66bd745e07b5758,137,1,7168,36139,True,3,3,0.5,27.99958,2.87158,13.20358,28.0,2.872,13.204,0.00126,274,2,0.066667,0.066667,0.011111,0.011111,5.999999,5.999999,0.01150308,0.0,0.00041859,0.06959162,0.66666667,0.00018812,0.00027906,0.00013953
