node,sample_idx,split,label,n_nodes,n_edges,is_phisher,out_degree,in_degree,direction_ratio,max_out_amount,min_out_amount,avg_out_amount,max_in_amount,min_in_amount,avg_in_amount,account_balance,lifetime_days,active_days,freq_out_short,freq_in_short,freq_out_long,freq_in_long,short_long_out_ratio,short_long_in_ratio,katz_centrality,betweenness_centrality,degree_centrality,closeness_centrality,clustering_coefficient,eigenvector_centrality,in_degree_centrality,out_degree_centrality
0xcd0119d3d1cab729a915578e9aa4000c6283877c,1,TRAIN,0,2,1,False,1,0,1.0,0.238422,0.238422,0.238422,0.0,0.0,0.0,-0.238422,0,1,0.033333,0.0,0.005556,0.0,5.999999,0.0,0.70534123,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0x4e3a0c048bbe3a626d68e3e524d217741988f465,2,TRAIN,0,4911,7486,False,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.033333,0.0,0.005556,0.0,5.999999,0.0,0.01340416,0.0,0.00020367,0.0,0.0,7.232e-05,0.0,0.00020367
0xe276c66af8853cdd91c1a25608b4e8b599f4da0e,3,TRAIN,1,92,3098,True,2,6,0.25,11.668278,7.85,9.759139,18.0,0.3,3.253333,0.001722,2,3,0.066667,0.2,0.011111,0.033333,5.999999,6.0,0.10660646,0.02075702,0.08791209,0.20489188,0.0,0.01926965,0.06593407,0.02197802
0x6e6e75fccd4311e966a4d4a37052640de5f380da,4,TRAIN,0,2698,14914,False,3,0,1.0,0.994884,0.091838,0.393766,0.0,0.0,0.0,-1.181297,36,2,0.066667,0.0,0.016667,0.0,4.0,0.0,0.01876004,0.0,0.00037078,0.0,0.0,0.0,0.0,0.00037078
0xa77f139965417281966325f2ffa8c239d5bdd67a,5,TRAIN,0,4883,23395,False,0,1,0.0,0.0,0.0,0.0,6.216814,6.216814,6.216814,6.216814,0,1,0.0,0.033333,0.0,0.005556,0.0,5.999999,0.01430808,0.0,0.00020483,0.02345395,0.0,0.0,0.00020483,0.0
0x7b1fbd2e38dd4fd958bb773ffc456887a01f8585,6,TRAIN,0,891,10350,False,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.033333,0.0,0.005556,0.0,5.999999,0.0,0.03295727,0.0,0.0011236,0.0,0.0,0.0,0.0,0.0011236
0x4b4e4d18f6945d2c1c6f4eae3e75302c94eeeff3,7,TRAIN,0,7335,43440,False,1,1,0.5,4.017106,4.017106,4.017106,4.018786,4.018786,4.018786,0.00168,0,1,0.033333,0.033333,0.005556,0.005556,5.999999,5.999999,0.01151337,0.01731624,0.0002727,0.02762058,0.0,0.0,0.00013635,0.00013635
0xd4fadf5352430026fbb2ee6f61c1477b7c14ea8a,8,TRAIN,1,1079,9338,True,2,1,0.666667,0.009111,0.0,0.004555,0.01,0.01,0.01,0.000889,0,1,0.066667,0.033333,0.011111,0.005556,5.999999,5.999999,0.03030032,0.00022284,0.00278293,0.35715772,0.0,1.149e-05,0.00092764,0.00185529
0x0621d666c2be3692c1ca78eb0b8f93811154582e,9,TRAIN,0,5019,12684,False,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.033333,0.0,0.005556,0.0,5.999999,0.0,0.01323942,0.0,0.00019928,0.0,0.0,0.0,0.0,0.00019928
0x5452a5d5dfa52b2555d86771535039cc269dc730,10,TRAIN,1,10116,33179,True,4,3,0.571429,0.000694,0.0,0.000174,0.05,0.002,0.018,0.053306,76,2,0.033333,0.033333,0.022222,0.016667,1.5,2.0,0.00924417,0.0,0.00049432,0.00700014,0.16666667,3.355e-05,0.00019773,0.00029659
0x2eaa87226e56254e355eeb320e657786a2b40599,11,TRAIN,1,81877,860099,True,159,96,0.623529,820.0,0.0,10.942696,1426.535869,0.002656,17.095807,-98.691121,1,3,5.3,3.2,0.883333,0.533333,6.0,6.0,0.00475929,0.00243725,0.00205188,0.03198341,0.01079137,0.00073807,0.00112365,0.00092823
0x54bfe14243c68f73f8825e963dce130f7a8cb720,12,TRAIN,0,7049,12034,False,0,3,0.0,0.0,0.0,0.0,6.516096,0.1,3.442913,10.328739,0,1,0.0,0.1,0.0,0.016667,0.0,6.0,0.01201518,0.0,0.00014188,0.16324665,0.0,0.00043271,0.00014188,0.0
0x72fa582e2f8eeb8c27905047616166ad0b4b9178,13,TRAIN,0,300,2348,False,1,1,0.5,0.515703,0.515703,0.515703,0.516228,0.516228,0.516228,0.000525,0,1,0.033333,0.033333,0.005556,0.005556,5.999999,5.999999,0.05746748,0.0,0.00668896,0.1623256,0.0,2e-07,0.00334448,0.00334448
0x3545abf22e4e1b03d124dd3558992c939ae42d54,14,TRAIN,0,4699,11233,False,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.066667,0.0,0.011111,0.0,5.999999,0.0,0.01373391,0.0,0.00021286,0.0,0.0,0.0,0.0,0.00021286
